Slank;Formal
eakyu;waktu
cntik;cantik
kakanya;kakaknya
doeloe;dulu
cantikkkk;cantik
iyak;iya
laki2;laki-laki
fhotonya;fotonya
bleh;boleh
tnggl;tanggal
tanteny;tantenya
sklinyaa;sekalinya
dramaa;drama
niiih;nih
lihaat;lihat
yuwkkk;yuk
editannn;editan
thu;tuh
kamuu;kamu
kejuu;keju
nama.a;namanya
kmauan;kemauan
yuuuuk;yuk
dmana;dimana
disiniii;disini
cobaa;coba
yaudh;ya sudah
tuhhh;tuh
amploppp;amplop
sayangg'';sayang-sayang
nantii;nanti
aminnnnn;amin
gakuat;enggak kuat
yukkkk;yuk
nged;banget
ksitu;kesitu
liad;lihat
biasahhh;biasa
tutorialx;tutorialnya
dpke;dipakai
rekomndd;rekomendasi
bli2n;beli-belikan
wado;waduh
guaa;gua
yaakkk;ya
bangetttttyt;banget
bangg;bang
kangeeeeeeeeennnnnnnn;kangen
kaliannnnnn;kalian
rinduuuuuuuuuu;rindu
kangennnnnmnnnnnnnnnnnnnnnnn;kangen
kaliannnnnm;kalian
kangeeeeeeeeeeennnnn;kangen
kangennnnnnnnnnnnnnnn;kangen
kangennn;kangen
kaliannnnnnn;kalian
th2;tahun-tahun
smpt;sempat
blg;bilang
trserah;terserah
cwo;cowok
prnah;pernah
trpsah;terpisah
prsatukn;persatukan
ngomng;mengomong
mdh2an;mudah-mudahan
skedar;sekadar
kangeeerrn;kangen
terrrrbaik;terbaik
jorookknya;joroknya
ihhhhh;ih
jorokkkk;jorok
mualll;mual
klow;kalau
muke;muka
seneeeeeng;senang
besarin;membesarkan
tanyang;tayang
ber2;berdua
ngelarang;melarang
kerreeen;keren
pantess;pantas
bngettt;banget
baperr;bawa perasaan
sbr;sabar
pngen;pengin
nntn;menonton
ht;hati
pemainy;pemainnya
baper;bawa perasaan
kbawa;terbawa
bradegan;beradegan
amiiinnnn;amin
nikahin;menikahi
liyat;lihat
sk;suka
adengan;adegan
bingit;banget
model2;model-model
sitayngin;ditayangkan
cocokkk;cocok
mahhhh;mah
cocokny;cocoknya
iniw;ini
setju;setuju
bnern;benaran
pcrn;pacaran
cocokkkk;cocok
abes;habis
mksdny;maksudnya
kesampean;kesampaian
beginiiii;begini
beliin;membelikan
keq;kek
sygkuu;sayangku
baju'a;bajunya
gara'';gara-gara
pokok'a;pokoknya
ubur2;ubur-ubur
kuyy;yuk
bentarr;bentar
dureen;duren
ajibb;ajib
niiihh;nih
imuuttt;imut
imuttzz;imut
konten2;konten-konten
rasain;rasai
daaaah;deh
asliiii;asli
cantiknnnnyaaaaaaa;cantiknya
yuuk;yuk
ngelihatnya;melihatnya
bdn;badan
ibu2;ibu-ibu
lau;kau
cantikk;cantik
sexxi;seksi
bulet;bulat
ngocok;mengocok
kencqng;kencang
kra;kira
diginikan;dibeginikan
coret";coret-coret
gambarin;gambarkan
ngerii;ngeri
digambarin;digambarkan
bedanyaaa;bedanya
pgin;pengin
krudungan;kerudungan
maksutku;maksudku
kerennnnn;keren
jd'y;jadinya
manisnyaaaa;manisnya
mbg;mbak
ngomen;mengomentari
kaaakk;kak
tenggah;tengah
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk;apik
kocakkkkkkkkkkkkkk;kocak
ksukaanmuuu;kesukaanmu
bagiii;bagi
ayooo;ayo
nontonx;menontonnya
pi;tapi
penasarannnn;penasaran
gilakkkkkk;gila
mauuu;mau
nontoonnn;menonton
kepingin;pengin
nontonnnn;menonton
deeek;dek
ntappp;mantap
deg2an;deg-degan
cyiiin;cinta
iyha;iya
kureeeen;keren
muantaap;mantap
nraktir;mentraktir
nonton;menonton
sbnyak;sebanyak
penasaraaann;penasaran
ayoooo;ayo
nontonya;menontonnya
peen;pengin
ceritax;ceritanya
yoooiii;yoi
kuy;yuk
tauuuuu;tau
sabarrrrr;sabar
kqmu;kamu
banggain;banggakan
pengan;pengin
sendeng;senang
bagiin;bagikan
nanggepin;menanggapi
kapn;kapan
barang2;barang-barang
kirimin;mengirimi
senengin;senangi
ampunnnn;ampun
senengg;senang
teruzzz;terus
diluarann;diluaran
trbaik;terbaik
anjirrrr;anjir
jendess;janda
sichh;sih
namnya;namanya
aduuhhh;aduh
miripp;mirip
silauuu;silau
uga;juga
njiirr;anjir
gemay;gemas
dstu;disitu
wiiiihhhh;wih
samoga;semoga
kereennn;keren
nyangkaa;menyangka
hasilnyaaa;hasilnya
dahhhh;dah
jugaakk;juga
diapa2in;diapa-apai
donx;dong
gthu;begitu
maauuu;mau
pacarrr;pacar
idamann;idaman
naturalllll;natural
berntung;beruntung
merka;mereka
jln2;jalan-jalan
romntis;romantis
ulan;ulang
mngkin;mungkin
diksi;dikasih
keciill;kecil
ughaa;juga
tante";tante-tante
abeees;habis
kapan2;kapan-kapan
bosen2;bosan-bosan
sempurnaaaaa;sempurna
kece2;kece-kece
badaaiii;badai
beneraan;benaran
cantiiik;cantik
kuatttt;kuat
cantiiiiiiik;cantik
cantiknyaaa;cantiknya
bae2;baik-baik
mb;mbak
catiiiiik;cantik
subahanallah;subhanallah
jaman2nya;jaman-jamannya
padet;padat
buktiin;buktikan
cantiq;cantik
pasien"nya;pasien-pasiennya
keeeerrrreeeennnnnnnnn;keren
choker2;choker-choker
hadirrr;hadir
hadirr;hadir
jelashh;jelas
mbaaa;mbak
temen;teman
hidupppp;hidup
abis2;habis-habis
para2;parah-parah
bangeeet;banget
allahhhhhhh;allah
gemesnya;gemasnya
ngilangin;menghilangkan
tbuh;tubuh
ledekin;ledeki
tmn2;teman-teman
oles2;oles-oles
dptkan;dapatkan
artis2;artis-artis
ninggiin;meninggikan
sukaaa;suka
lutuna;lucunya
ciapa;siapa
gemesss;gemas
terharuuu;terharu
alamii;alami
sampek;sampai
ckrng;sekarang
ngegemesin;menggemaskan
imoet;imut
imut2;imut-imut
jagain;jaga
yahbh;ya
sktika;seketika
lutu;lucu
wowwww;wow
massss;mas
kesiniii;kesini
keren";keren-keren
jalan"nya;jalan-jalannya
masyaallahhh;masyaallah
begok;bego
bkan;bukan
jgk;juga
bawak;bawa
it;itu
nti;nanti
pgi;pagi
keeeeeren;keren
baguusss;bagus
nahannnn;tahan
bagaatt;banget
gayannxa;gayanya
kereeeen;keren
ngekeh;kekeh
xlian;kalian
b3;bertiga
lcu;lucu
pait;pahit
koplakkk;koplak
kerass;keras
yachhh;ya
gokil;gila
ngelawak;melawak
iiihhhhh;ih
nyolotinnnn;menyolot
beratttttttt;berat
cantiikkkk;cantik
hijaabbb;hijab
smnagatin;menyemangati
kanapa;kenapa
cans;cantik
banhet;banget
bgttttttt;banget
blng;bilang
mngasi;mengasih
kmbang;kembang
pg;pagi
pla;pula
kw;kau
blakon;berlakon
nmpk;nampak
bngtzt;banget
lucukkkkk;lucu
sbelah;sebelah
ciusss;serius
palinf;paling
fav;favorit
maak;mak
ngakaaaakkk;mengakak
gokill;gila
kocakkkkkk;kocak
ngekek;mengekek
pegangin;memegang
nyender;menyandar
manjain;memanjakan
peleotin;meleot
bng;bang
termurahhhh;termurah
nyatakan;menyatakan
graaatiiiis;gratis
meriahh;meriah
cantikkkm;cantik
bingits;banget
yuppss;ya
nyindir;menyindir
onoh;sono
anakny;anaknya
staf2nya;staf-stafnya
begete;banget
kata2nya;kata-katanya
ynk;sayang
nangis";menangis-nangis
hati";hati-hati
jangan";jangan-jangan
hancurin;menghancurkan
ckp;cukup
mgkn;mungkin
diapain;diapakan
haragain;menghargai
nyakitin;menyakiti
jgn2;jangan-jangan
sbaiknya;sebaiknya
fakta2;fakta-fakta
nilai2;nilai-nilai
nyinyirin;nyinyir
nyerang;menyerang
mang;memang
kbetulan;kebetulan
orgtuanya;orang tuanya
sbelum;sebelum
ngamatin;mengamati
ngintip;mengintip
ngintilin;mengintil
smnjak;semenjak
nyambet;menyambat
krmh;ke rumah
bo'ong;bohong
eloo;lo
apa2nya;apa-apanya
ibliss;iblis
hdpnya;hidupnya
anknya;anaknya
sbuah;sebuah
anak2nya;anak-anaknya
ank2nya;anak-anaknya
branjak;beranjak
ank2;anak-anak
masyarakay;masyarakat
menegerti;mengerti
sok2;sok-sok
nasehatin;menasihati
ngaca;mengaca
kakkkk;kak
slamet;selamat
nari;menari
ngcpin;mengucapkan
woowwww;wow
iaa;ya
kebagi;terbagi
nerusin;meneruskan
indo;indonesia
univ;universitas
wihh;wih
tetapppp;tetap
gantenggg;ganteng
jakety;jaketnya
pala;kepala
pusingggg;pusing
pucing;pusing
ihhhh;ih
maho;manusia homo
gantng;ganteng
alak;kepala
hilangv;hilang
bungggg;bung
gapap;enggak apa-apa
gokiiill;gila
busedh;buset
gokilnya;gilanya
duluuu;dulu
keceee;kece
duuhhh;duh
amiiiiinnnnn;amin
tullus;tulus
pluk;peluk
durhaka2;durhaka-durhaka
kpada;kepada
seburuk";seburuk-buruk
ktaa;kita
yup;ya
tetaplaah;tetaplah
gya;gaya
kndung;kandung
u;untuk
ksenangan;kesenangan
ddpt;didapat
mmbodohkan;membodohkan
orlaen;orang lain
aplikasiin;mengaplikasikan
berangat;berangkat
praktekin;mempraktikkan
kate;kata
cabe2;cabe-cabe
prjuangan;perjuangan
kmewahan;kemewahan
stimpal;setimpal
ddpat;didapat
sprt;seperti
mnilai;menilai
usahh;usah
segala2nya;segala-galanya
mkanya;makanya
bhagia;bahagia
korek2;korek-korek
ngebales;membalas
sasama;sesama
cabe2an;cabe-cabean
terong2an;terong-terongan
seklian;sekalian
tuuu;itu
ngurusan;mengurusi
campurin;mencampuri
emnknya;memangnya
unyuu;unyu
mrangkul;merangkul
adlh;adalah
wlo;walau
manusiy;manusia
samara;sakinah mawadah rahman
teringt;teringat
trmsuk;termasuk
pilihnmu;pilihanmu
swmntara;sementara
trmasuk;termasuk
liht;lihat
suaminy;suaminya
jadulnya;jaman dulunya
ngata2in;mengata-ngatai
mulusssss;mulus
kpleset;kepleset
yawlah;ya allah
kepeleset;kepleset
kayanye;kayanya
amiinnnn;amin
komen2an;komen-komenan
wewww;wow
dumsss;dong
tar;entar
permasalhkan;permasalahkan
jauhin;jauhi
adiik;adik
manisss;manis
besar";besar-besar
masing";masing-masing
ddlm;di dalam
dkuburnya;dikuburnya
fi;di
ttg;tentang
critamu;ceritamu
cmkn;camkan
diurusin;diurusi
biarin;biarkan
kale;kali
donks;dong
membanding";membanding-banding
mengperbolehkan;memperbolehkan
ngri;negeri
dingin";dingin-dingin
dibangga'in;dibangga-banggakan
ngebolehin;membolehkan
denger;dengar
jelek"in;menjelek-jelekkan
smog;semoga
mnerima;menerima
baikxa;baiknya
aaamin;amin
amienn;amien
sekangen2;sekangen-kangen
amiiiiiiiiiinnnnnnn;amin
nolongin;menolong
amiiiiiiiiiiin;amin
seluru;seluruh
amiennn;amien
tebir;ribet
doangam;doang
tebir";ribet-ribet
amad;amat
mkst;maksud
wong2;wong-wong
rempong;repot
bingittzz;banget
ikh;ih
nengok;menengok
bante;bantai
komenannya;komentarnya
hadapin;menghadapi
dengarin;mendengarkan
cock;cocok
widihh;waduh
cita2;cita-cita
temen-temen;teman-teman
stu;satu
syratnya;syaratnya
pnjang;panjang
shat;sehat
inginkn;inginkan
belanjaa;belanja
ngerasain;merasai
kancang;kencang
mansyoallah;masyaallah
canttttikkk;cantik
subhanalloh;subhanallah
lkuin;lakukan
langgenh;langgeng
foto2nya;foto-fotonya
tanggung2;tanggung-tanggung
salluutt;salut
mkn;makin
pdng;padang
warbiyasah;luar biasa
keedaannya;keadaannya
lagu2;lagu-lagu
saya2;saya-saya
lagu2nya;lagu-lagunya
spertinya;sepertinya
mrah;marah
gra2;gara-gara
sngaja;sengaja
udah2;sudah-sudah
ungkit2;ungkit-ungkit
pura2;pura-pura
curhat2;curhat-curhat
matany;matanya
dteng;datang
mata'y;matanya
baju2;baju-baju
buruannn;buruan
perubut;perebut
sumai;suami
urusin;mengurusi
say;sayang
mmbela;membela
mslhnya;masalahnya
llki;lelaki
boleh2;boleh-boleh
dya;dia
maluuuu;malu
beda2;beda-beda
nyaranin;menyarankan
x;kali
tongolin;menongol
cabol;cabul
ape;apa
nyet;monyet
muna;munafik
tot;entot
hidiyah;hidayah
mgkin;mungkin
bhwa;bahwa
skaligus;sekaligus
cek2;cek-cek
spti;seperti
mgk;mungkin
sapa2;sapa-sapa
sama2;sama-sama
kyknya;kayaknya
termurahhh;termurah
bhw;bahwa
banyaaaaaak;banyak
baik2nya;baik-baiknya
tunjukan;tunjukkan
anak2mu;anak-anakmu
ngasih2;mengasih-ngasih
berfikir;berpikir
jkt;jakarta
terbaeq;terbaik
jels;jelas
diakibtkn;diakibatkan
suk;suka
dsrny;dasarnya
jkrta;jakarta
main2;main-main
lanjutkaaaaan;lanjutkan
hiduppp;hidup
ncek;encek
majuuu;maju
looohh;loh
sebelumbya;sebelumnya
tahun";tahun-tahun
koment;komentar
nyampein;menyampaikan
hokiii;hoki
naksir;menaksir
bangt";banget-banget
nafkahin;menafkahi
ngitem;menghitam
banyaaaak;banyak
sama";sama-sama
lhat;lihat
cantika;cantik
cwek;cewek
kngen;kangen
fillm;film
sinet;sinetron
jendral;jenderal
maenya;mainnya
cantiks;cantik
pilm;film
taon;tahun
nd;indak
cini;sini
jaaangan;jangan
kaannnn;kan
tidakkkk;tidak
kemuh;kamu
sby;surabaya
pinginnn;pengin
ketemuuu;ketemu
mimpiii;mimpi
wanjerrr;anjir
satupunn;satupun
motret;memotret
lapakk;lapak
nyeniii;menyeni
seeh;sih
deuhh;duh
b2an;berduaan
dihargain;dihargai
engga";enggak-enggak
tahun2;tahun-tahun
lebayy;lebay
gilsss;gila
nganbek;mengambek
mendam;memendam
relaaaa;rela
bgun;bangun
tdur;tidur
cntk;cantik
knl;kenal
anugrah;anugerah
awoohhh;allah
cantiikk;cantik
sbbyak;sebanyak
nyangkutnya;menyangkutnya
ampunnnnn;ampun
wadaaw;waduh
sampw;sampai
dijelekin;dijelekkan
azeeeek;asik
ntikk;cantik
uhh;uh
mnisss;manis
tambahim;tambahkan
bener";benar-benar
canttikkk;cantik
baanggeettt;banget
siiihh;sih
krpoooo;kepo
nyusul;menyusul
nyok;yuk
dekkk;dek
ngiri;mengiri
mmang;memang
nentuin;menentukan
mnjmput;menjemput
ygs;sayang
mblooo;jomblo
ber'expresi;berekspresi
jdulnya;judulnya
ciumman;ciuman
aurot;aurat
laginy;laginya
nyaaaaaaaaaaaaa;nya
alkhamdulilah;alhamdulillah
anjirrr;anjir
ngeh;engah
amen;amin
qm;kamu
nahhh;nah
ngmngnya;mengomongnya
komunitas2;komunitas-komunitas
fotony;fotonya
halllo;halo
ngiritya;mengiritnya
hematt;hemat
ciyeeee;cie
yeeee;ya
kususnya;khususnya
ajaaahhhhh;saja
syediiihhh;sedih
malangg;malang
belooomm;belum
yaakk;ya
kebukti;terbukti
anak2e;anak-anaknya
tuwanya;tuanya
comen2nya;komen-komennya
pedesssss;pedas
nyebut2;menyebut-nyebut
plg;pulang
hellooooooo;halo
ngrebut;merebut
mnjdi;menjadi
taek;tahi
lupain;melupakan
bangkret;bangkrut
lahhhhhh;lah
kedokk;kedok
mati"an;mati-matian
nyimak;menyimak
komenx;komennya
serem2;seram-seram
ngumpet";mengumpet-ngumpet
blim;belum
ngerebut;merebut
mnjijikaaaaaan;menjijikkan
astgfrlh;astagfirullah
sahabatt;sahabat
gnyngka;enggak menyangka
sendirir;sendiri
brengsekk;brengsek
ngomentnya;mengomentarinya
nusuk;menusuk
dpotong;dipotong
helo;halo
ngmgin;mengomongkan
bilangg;bilang
gkhianati;mengkhianati
pljaran;pelajaran
mngikuti;mengikuti
klkuan;kelakuan
dibikin2;dibikin-bikin
cew;cewek
cow;cowok
kasiannn;kasihan
syekaliii;sekali
hgga;hingga
cieeeee;cie
sholihah;salihah
adeuh;aduh
halahh;alah
yuuks;yuk
ginian;beginian
judulnyaa;judulnya
ayoookkkkkk;ayo
artix;artinya
cewe;cewek
cowo;cowok
lt;lantai
nama";nama-nama
cwe;cewek
serem;seram
kepoin;mengepoi
pedes;pedas
komentnya;komentarnya
omongin;mengomongkan
ngalirrrrr;mengalir
idup;hidup
ngehujat;menghujat
dosaa;dosa
ngebela;membela
seindonesiyah;seindonesia
senyumin;senyumi
ngalir;mengalir
ngrusak;merusak
px;punya
kslhn;kesalahan
skrngnya;sekarangnya
kalik;kali
bilangin;bilang
nyambungin;menyambung
nggali;menggali
cmpur;campur
dgr;dengar
nangiiiiis;menangis
nangiiis;menangis
ngomentarin;mengomentari
idupnya;hidupnya
ortunya;orang tuanya
bloghhh;goblok
ngomongin;mengomongkan
abal";abal-abal
dikata2in;dikata-katai
ngehina;menghina
kebanggan;kebanggaan
mnjawab;menjawab
woooiiiiiiii;woy
dosaaaaaaaaaa;dosa
ingt;ingat
karmaaa;karma
ngkkkkkk;mengakak
makny;maknya
wdooohhh;waduh
kasihn;kasihan
lhirr;lahir
hujatann;hujatan
palgi;apalagi
wihhh;wih
kakakkk;kakak
ngets;banget
stp;setiap
penbelian;pembelian
cuaantik;cantik
sukakkk;suka
cucokkk;cocok
lyt;lihat
expresi;ekspresi
natap;menatap
helloo;halo
difotoin;difoto
psangan;pasangan
cakepp;cakep
ngiriii;mengiri
coxok;cocok
buatin;buatkan
nihhh;nih
statusx;statusnya
cem;macam
sunggu;sungguh
ammiiin;amin
maaasss;mas
segerrrr;segar
kemn;kemana
suipit;sipit
sipiit;sipit
kedengeran;kedengaran
semangaatt;semangat
promil;program hamil
lancr;lancar
keputihn;keputihan
gratisss;gratis
kebayang;terbayang
mdh";mudah-mudah
bz;bisa
amiinn;amin
ammin;amin
mendapatkn;mendapatkan
lucuuuk;lucu
amaattt;amat
aje;saja
yaoloh;yaallah
ngerayain;merayakan
sotoy;sok tau
d.bikinin;dibikin
mmz;mas
bikinin;bikin
bapeeeer;bawa perasaan
diginiin;dibeginikan
pu;punya
suamiiiii;suami
krenn;keren
kebykan;kebanyakan
pernikahn;pernikahan
ngtain;mengatai
bagusnyeee;bagusnya
hmpir;hampir
liatnyaaa;lihatnya
mbuh;embuh
bsk;besok
waaa;wah
berbiiiiiihhh;barbie
canteek;cantik
teru;terus
nyatok;mencatok
nyampenya;sampainya
goncengin;boncengkan
dianterin;diantar
gebleg;geblek
anterin;antar
ngantar;mengantar
nganterin;mengantarkan
mz;mas
yeuh;ya
dianter;diantar
disupirin;disopiri
jidad;jidat
ciee;cie
novembr;november
bedain;membedakan
genduut;gendut
bertatto;bertato
brrt;berarti
kana;kanan
tauuu;tau
tengaj;tengah
apal;hapal
dak;indak
rupa2nya;rupa-rupanya
kembaq;kembar
tngh;tengah
mknya;makanya
prmpuan;perempuan
ketuker;tertukar
drimnanya;darimananya
cntikan;cantikan
edaaaan;edan
syp;siapa
bcnda;bercanda
uhhh;uh
bazengg;bajingan
haiii;hai
bosaan;bosan
kmana2;kemana-mana
komentar2;komentar-komentar
kenyataan2;kenyataan-kenyataan
sukur2;sukur-sukur
baek2;baik-baik
dibkatakan;dikatakan
pengikuy;pengikut
ngmngin;mengomongkan
maksd;maksud
adkah;adakah
menbelah;membelah
ayuk;ayo
mngira;mengira
bertolernsi;bertoleransi
slahkan;salahkan
tolernsi;toleransi
sbnarnya;sebenarnya
ingi;ingin
oalaaaa;walah
menjelekan;menjelekkan
dikemanain;dikemanakan
bpknya;bapaknya
sedihh;sedih
kangennnn;kangen
gndakan;gandakan
kangeeeeeeeenya;kangen
ganti'kn;menggantikan
tnang;tenang
amiiiiiiiiiiiiiiiiin;amin
kgeeeen;kangen
kangeenn;kangen
bangeeeet;banget
bsok;besok
mti;mati
bngetttt;banget
kangeen;kangen
bgect;banget
kebaikan"y;kebaikannya
dssi;disisi
kngenn;kangen
kangeeeeennn;kangen
dasyat;dahsyat
aer;air
dtinggl;ditinggal
terbaiiikkkkk;terbaik
murahhh;murah
pecahhg;pecah
kakakgh;kakak
terbaeeeek;terbaik
prempuan;perempuan
nggeh;engah
indonesiaaa;indonesia
maluu;malu
cobaaaa;coba
ntapsss;mantap
kamiiii;kami
qmu;kamu
sdkit2;sedikit-sedikit
tntg;tentang
penyakitny;penyakitnya
ngajarin;mengajari
laenny;lainnya
amiinnn;amin
scpatny;secepatnya
sampein;sampaikan
tuany;tuanya
doa2;doa-doa
pjg;panjang
adeeek;adek
bca;baca
netes;menetes
mataq;mataku
byangin;membayangkan
dposisi;diposisi
tanda2nya;tanda-tandanya
tmn2nya;teman-temannya
sayy;sayang
salaam;salam
ngajar;mengajar
fto2;foto-foto
dallam;dalam
tentanh;tentang
nnton;menonton
kejadianny;kejadiannya
klg;keluarga
sayaang;sayang
msg2;masing-masing
pgnnya;penginnya
meluk;memeluk
siiihhh;sih
mupeng;muka pengin
caya;percaya
aduhhhhhhhhh;aduh
buseett;buset
mblo;jomblo
lucuuu;lucu
gagahx;gagahnya
miriiiip;mirip
kaliiii;kali
niru;meniru
bpkmu;bapakmu
baang;bang
yuu;yuk
yuuu;yuk
ngademin;mengademkan
aahh;ah
looo;loh
gils;gila
ono;sono
weeeh;wih
temenan;berteman
sehh;sih
dekt;dekat
genggg;geng
yawloh;ya allah
bhnya;bahannya
samaaaa;sama
abanggku;abangku
sayanggg;sayang
ciieeeeeee;cie
kokohh;engkoh
takuttt;takut
yuks;yuk
pnjual;penjual
dung;dong
latian;latihan
aaaaaaakkk;ah
mauuuu;mau
soga;moga
tteh;teteh
sintron;sinetron
astagaa;astaga
ancurrr;hancur
dblkang;dibelakang
yayang;sayang
gokillllll;gila
ska;suka
ktawa;ketawa
baguuus;bagus
kaaan;kan
ngepoin;mengepoi
uuhh;uh
beut;banget
njirrr;anjir
pengeeenn;pengin
dongggg;dong
besook;besok
njayyy;anjay
maacih;terima kasih
tokayyy;tahi
to;tapi
mksdku;maksudku
gituin;begitukan
ilang";hilang-hilang
giniin;beginikan
kubarikan;kuberikan
ayank;sayang
anyeng;anjing
yankkk;sayang
cukurrr;cukur
gilaaaaaa;gila
yhaaa;ya
qaqaaaa;kakak
sayangkuuuuu;sayangku
kakakuuu;kakakku
banx;bang
edannn;edan
bape;bawa perasaan
artis";artis-artis
ngelahirin;melahirkan
paksain;memaksa
hubunggi;hubungi
loooh;loh
telimakacih;terima kasih
nerawang;menerawang
cantiiiik;cantik
didapet;didapat
tanya2;tanya-tanya
kuningggg;kuning
nyolot;menyolot
marah2an;marah-marahan
wlaupun;walaupun
syantiiiiikkkkkkkkkkkk;cantik
bwa";bawa-bawa
agma;agama
hijabb;hijab
kerrennn;keren
pan;kapan
mateeeek;mati
geetoo;begitu
sewain;menyewa
kokkk;kok
yaaang;yang
yappp;ya
uwahhhhh;wah
psgn;pasangan
ujg;ujung
rmbut;rambut
kki;kaki
hayukk;hayo
ntab;mantab
atuhhh;atuh
yukss;yuk
lihaatttt;lihat
niiiihh;nih
liattt;lihat
cuyyy;cuy
liatiii;lihat
jombsss;jomblo
emesshhh;gemas
gemeessss;gemas
poollll;pol
gemesyak;gemas ya
bngttt;banget
ngegmesin;menggemaskan
hndak;hendak
hndk;hendak
iiih;ih
lutunaa;lucunya
gemes;gemas
ngareppppp;mengharap
aamiinin;amin
imuutt;imut
abizzz;habis
tay;tahi
toketnya;teteknya
tumpe2;tumpah-tumpah
lenje;lenjeh
tuuuuh;tuh
cantinya;cantiknya
mbak";mbak-mbak
ngatain;mengatai
mbaknyaahh;mbaknya
pyudara;payudara
ditutupin;ditutupi
ngomongnya;mengomongnya
cantiik2;cantik-cantik
hati.a;hatinya
mk.a;makanya
mlt.a;mulutnya
nyerocooooos;mencerocos
kyk.a;kayaknya
sklh;sekolah
pljrn;pelajaran
srng;sering
dikatain;dikatai
maluuu;malu
brisi;berisi
canti;cantik
astagfirullh;astagfirullah
nutupin;menutupi
kakakaaaaaaaaaaaaaa;kakak
cantikkkkkkkk;cantik
batwc;banget
kamyuhhh;kamu
dbwh;dibawah
bukti2;bukti-bukti
senenggg;senang
murhan;murahan
prwtn;perawatan
wjh;wajah
bgettt;banget
mereka2;mereka-mereka
pakke;pakai
ktergantungan;ketergantungan
prwatn;perawatan
ngebuktiin;membuktikan
hslnya;hasilnya
gratiss;gratis
gara";gara-gara
benar";benar-benar
ajaibb;ajaib
setujuuu;setuju
digituin;dibegitukan
sekolahin;sekolahkan
ajarin;ajarkan
sendirii;sendiri
mrnghadapi;menghadapi
naka;nakal
sdkt;sedikit
besar2in;besar-besarkan
bgmana;bagaimana
s*inetr*n;sinetron
mrusak;merusak
mndpt;mendapat
skt;sakit
sebnyak;sebanyak
terburu2;terburu-buru
ngumpat2;mengumpat-ngumpat
nantangin;menantang
ngegampar;menggampar
ngelaporin;melaporkan
konsekwensi;konsekuensi
muliany;mulianya
mungki;mungkin
bacahalah;bacalah
dikerasin;dikerasi
gkkan;enggak akan
ngulangin;mengulangi
bedaa;beda
pnyaa;punya
bol3h;boleh
ngadu;mengadu
dimarahin;dimarahi
nyelesain;menyelesaikan
troma;trauma
kerasin;kerasi
kamu2;kamu-kamu
cewer;jewer
bilanh;bilang
jwban;jawaban
nuduh;menuduh
rajin2;rajin-rajin
bacaaaa;baca
kekk;kayak
jungkiir;jungkir
bales2in;balas-membalas
orangg;orang
tauuuu;tau
kepad;kepada
bantuanny;bantuannya
ttinggi;tinggi
jari2;jari-jari
pukulin;pukuli
bengkak2;bengkak-bengkak
komentarin;komentari
bijak2;bijak-bijak
menurur;menurut
tipe2;tipe-tipe
teguran2;teguran-teguran
skolah;sekolah
klas;kelas
tkut;takut
grunya;gurunya
pndah;pindah
liat2;lihat-lihat
dilindungin;dilindungi
kasiaannn;kasihan
miring2;miring-miring
tinggalin;tinggalkan
kaitannha;kaitannya
sud;sudah
pinter;pintar
rana;ranah
thdp;terhadap
scr;secara
justeru;justru
ngatai;mengatai
kln;kalian
termuraaahhhh;termurah
brkunjun;berkunjung
suarranya;suaranya
bner";benar-benar
iu;itu
bgussss;bagus
ambilin;mengambil
biasaaaa;biasa
luuuaar;luar
redho;ridho
rezki;rezeki
kepd;kepada
luaarrr;luar
biasaaa;biasa
jadilh;jadilah
terhaaru;terharu
orrunya;orang tuanya
flm;film
adek2;adek-adek
loncatt;loncat
hampasss;hempas
tehh;teh
bunga2;bunga-bunga
apaaan;apaan
ampuuunn;ampun
daaah;dah
bangetttttt;banget
cantiiikk;cantik
suaranyaaaaaa;suaranya
idoolaaa;idola
penyanyi2;penyanyi-penyanyi
wiih;wih
miriip;mirip
allaahh;allah
ajahhh;saja
dehat;sehat
salammmm;salam
sihat;sehat
buruann;buruan
rekomendain;rekomendasikan
pesen;pesan
prawatan;perawatan
dimao;dimau
dijadiin;dijadikan
silahkn;silakan
kasiatnya;khasiatnya
minyak"an;minyak-minyakan
prodak;produk
trasa;terasa
minpi;mimpi
mutihin;memutihkan
smster;semester
ucull;lucu
ngomong";ngomong-ngomong
udehh;sudah
syngnya;sayangnya
dipermainin;dipermainkan
kocakkk;kocak
dasarrr;dasar
waaaaw;wow
cannnnntikkkkkkk;cantik
mukax;mukanya
cantikx;cantiknya
fatanik;fanatik
protestin;protestan
kakau;kalau
marh;marah
emngnya;memangnya
cantiknyaa;cantiknya
darpada;daripada
cooooooocok;cocok
pkk;pakai
sling;saling
agama'ny;agamanya
bilng;bilang
prcy;percaya
lurusin;meluruskan
biri;biru
luco;lucu
ultha;ultah
batikk;batik
arab2;arab-arab
luchu;lucu
sedihhh;sedih
syang;sayang
naaaak;nak
peragain;peragakan
shayyy;say
anjaayy;anjay
shay;say
ngilerrrr;mengiler
shaaaay;say
hempaass;hempas
sayyy;say
shayy;say
syantiek;cantik
njay;anjay
hehh;eh
cantik2;cantik-cantik
kam;kamu
ingeet;ingat
nawarin;menawari
amiiiiin;amin
jauhhh;jauh
waaahhh;wah
